,Description,Previously Called,TYPE,Fiber Category,Resin Category,Sequence Assist,Auto-Sequence,PN Concatenation,PN+Description Concatenation,UOM,Width (in),Length (in),Arial Weight (gsm),Thickness (mm),$/Kg,Heat capcity (J/C),Suggested Process Temp (deg F),Manufacturer,Manufacturer PN (link to datasheet),Misc. Notes,Weld Notes:,Cut Notes:,Inventory Locations:
,Cetex TC960--- 116gsm--- 63% RW--- 6.5inch W,?,10-FILM,10-CARBON,03-PP,10-10-03-,1,10-10-03-001,10-10-03-001 - Cetex TC960--- 116gsm--- 63% RW--- 6.5inch W,kg,6.5,0,308,0.2794,28.6,,420,Toray,CETEX-TC960 PP,Cetex/Tencate is now Toray,Use a piece of tape or a clip to hold the roll together. Use the thin soldering tip at 370 deg C.,Make sure to align aluminum leads on roll holder with the aluminum U-channel on the mechanical stops.,#N/A
,Cetex TC960--- 116gsm--- 63% RW--- 13inch W,,10-FILM,10-CARBON,03-PP,10-10-03-,2,10-10-03-002,10-10-03-002 - Cetex TC960--- 116gsm--- 63% RW--- 13inch W,kg,13,0,308,0.2794,28.6,,420,Toray,CETEX-TC960 PP,Cetex/Tencate is now Toray,Two sheets of CF/PP-TC-969-164 are welded together by machine.Any additional welding is done by welding tip at 370 deg. C,Make sure to align aluminum leads on roll holder with the aluminum U-channel on the mechanical stops.,#N/A
,Cetex TC960--- 116gsm--- 63% RW--- 19.5inch W,,10-FILM,10-CARBON,03-PP,10-10-03-,3,10-10-03-003,10-10-03-003 - Cetex TC960--- 116gsm--- 63% RW--- 19.5inch W,kg,19.5,0,308,0.2795,28.6,,420,Toray,CETEX-TC960 PP,Cetex/Tencate is now Toray,Three sheets of CF/PP-TC-969-164 are welded together by machine.Any additional welding is done by welding tip at 370 deg. C,Make sure to align aluminum leads on roll holder with the aluminum U-channel on the mechanical stops.,#N/A
,PA6 Fiberglass--- 60% FW--- 13inch W,,10-FILM,20-GLASS,21-PA6,10-20-21-,1,10-20-21-001,10-20-21-001 - PA6 Fiberglass--- 60% FW--- 13inch W,kg,13,0,507,0.3,,,420,Celanese,CFR-TP PA6-GF60-03-332-0.27,,,,#N/A
,PET Fiberglass--- 12.75inch W,,10-FILM,20-GLASS,06-PET,10-20-06-,1,10-20-06-001,10-20-06-001 - PET Fiberglass--- 12.75inch W,kg,12.75,0,462,0.24,,,420,Celanese,CFR-TP PET-GF60-10-326-0.24,,,,#N/A
,PP Fiberglass--- 12inch W,,10-FILM,20-GLASS,03-PP,10-20-03-,1,10-20-03-001,10-20-03-001 - PP Fiberglass--- 12inch W,kg,12,0,439,0.25,,,420,Celanese,CFR-TP PP-GF70-13-305-0.25,,,,#N/A
,PPS Fiberglass--- 12inch W,,10-FILM,20-GLASS,08-PPS,10-20-08-,1,10-20-08-001,10-20-08-001 - PPS Fiberglass--- 12inch W,kg,12,0,,,,,420,Celanese,CFR-TP PPS-GF60-01-305-0.30,,,,#N/A
,PA6 Carbon Fiber--- 11inch W,,10-FILM,10-CARBON,21-PA6,10-10-21-,1,10-10-21-001,10-10-21-001 - PA6 Carbon Fiber--- 11inch W,kg,11,0,194,0.13,,,420,Celanese,CFR-TP PA6-CF60-03-275-0.13,,,,#N/A
,Cetex TC940--- 175gsm--- 50% RW--- 6.5” W,,10-FILM,10-CARBON,06-PET,10-10-06-,1,10-10-06-001,10-10-06-001 - Cetex TC940--- 175gsm--- 50% RW--- 6.5” W,kg,6.5,0,382.5,0.25,,,420,Toray,CETEX-TC940 PET,,,,#N/A
,IE6535--- Glass PP--- 25inch W,,10-FILM,20-GLASS,03-PP,10-20-03-,2,10-20-03-002,10-20-03-002 - IE6535--- Glass PP--- 25inch W,kg,25,0,,,,,,Polystrand,IE6535,Polystrand is now Avient,,,#N/A
,Maezio 1003t--- Carbon PC--- 28.5inch W,,10-FILM,10-CARBON,02-PC,10-10-02-,1,10-10-02-001,10-10-02-001 - Maezio 1003t--- Carbon PC--- 28.5inch W,kg,28.5,0,248,0.17,87.6,,,Covestro,Maezio 1003t,,,,#N/A
,IE6030--- Glass PP--- 25inch W,,10-FILM,20-GLASS,03-PP,10-20-03-,3,10-20-03-003,10-20-03-003 - IE6030--- Glass PP--- 25inch W,kg,25,0,,,,,,Polystrand,IE6530,Polystrand is now Avient,,,#N/A
,Clear PP--- 5 mil thick--- with gloss PET peel-ply--- 60inch W,,10-FILM,00-NO FIBER,53-PP+PET,10-00-53-,1,10-00-53-001,10-00-53-001 - Clear PP--- 5 mil thick--- with gloss PET peel-ply--- 60inch W,kg,60,0,,,,,,Matterworks,PVUVC1120-PEEL,,,,#N/A
,Modified PP adhesive film--- 37inch W,,10-FILM,00-NO FIBER,04-PP (MODIFIED),10-00-04-,1,10-00-04-001,10-00-04-001 - Modified PP adhesive film--- 37inch W,kg,37,0,,,,,,Protechnic,T04A9TS037X0940F0500,,,,#N/A
,Clear PP--- 5 mil thick--- no peel-ply--- 60inch W,,10-FILM,00-NO FIBER,03-PP,10-00-03-,1,10-00-03-001,10-00-03-001 - Clear PP--- 5 mil thick--- no peel-ply--- 60inch W,kg,60,0,,,,,,Matterworks,PVUVC1120-NOPEEL,,,You might have to start with the PP/PET Roll and have to peel the liner film after the first cut. Feel free to use the pizza cutter if the rotary cutter doesnt work well.,#N/A
,TPU film--- 2 mil thick--- 70inch W,,10-FILM,00-NO FIBER,41-TPU,10-00-41-,1,10-00-41-001,10-00-41-001 - TPU film--- 2 mil thick--- 70inch W,kg,70,0,,,,,,American Polyfilm,BT-2085-CS,,,,#N/A
,Maezio Carbon PC--- 44% FVC--- 4.75inch W,,10-FILM,10-CARBON,02-PC,10-10-02-,2,10-10-02-002,10-10-02-002 - Maezio Carbon PC--- 44% FVC--- 4.75inch W,kg,4.75,0,,,,,,Covestro,87558348,Covestro has discontinued this product,,,#N/A
,Maezio Glass SE3030--- Makrolon 2205 PC--- 44% FVC--- 4.75inch W,,10-FILM,20-GLASS,02-PC,10-20-02-,1,10-20-02-001,10-20-02-001 - Maezio Glass SE3030--- Makrolon 2205 PC--- 44% FVC--- 4.75inch W,kg,4.75,0,,,,,,Covestro,87685587,Covestro has discontinued this product,,,#N/A
,Maezio Glass SE3030--- Makrolon 2205 PC--- 44% FVC--- 4.75inch W--- natural,,10-FILM,20-GLASS,02-PC,10-20-02-,2,10-20-02-002,10-20-02-002 - Maezio Glass SE3030--- Makrolon 2205 PC--- 44% FVC--- 4.75inch W--- natural,kg,4.75,0,,,,,,Covestro,87685587-NAT,Covestro has discontinued this product,,,#N/A
,Glass PETG--- 25inch W--- natural,,10-FILM,20-GLASS,07-PETG,10-20-07-,1,10-20-07-001,10-20-07-001 - Glass PETG--- 25inch W--- natural,kg,25,0,,,,,,,,,,,#N/A
,IE6537--- Glass PP--- X-ply--- 25inch W,,10-FILM,20-GLASS,03-PP,10-20-03-,4,10-20-03-004,10-20-03-004 - IE6537--- Glass PP--- X-ply--- 25inch W,kg,25,0,,,,,,Polystrand,IE6537,,,,#N/A
